GeneName,R_033_C_Pp_yr2,R_036_C_Pp_yr2,R_045_C_Pp_yr2,R_048_C_Pp_yr2,R_049_La_Pp_yr2,R_051_C_Pp_yr2,R_052_La_Pp_yr2,R_054_C_Pp_yr2,R_057_C_Pp_yr2,R_058_La_Pp_yr2
GCKDGN101A4R0L_Ppor,0,0,7,0,0,0,0,0,0,1
GCKDGN101A4RKF_Ppor,0,0,1,3,0,0,0,3,7,2
GCKDGN101A4RYG_Ppor,0,0,8,2,0,0,0,4,3,2
GCKDGN101A4S6K_Ppor,0,0,4,0,1,0,0,1,3,0
GCKDGN101A4SUY_Ppor,57,1,2,2,1,0,0,3,2,6
GCKDGN101A4VAF_Ppor,0,0,0,0,0,0,1,0,2,2
GCKDGN101A4VKU_Ppor,0,0,2,0,0,0,0,1,2,2
GCKDGN101A4W2H_Ppor,59,0,4,5,0,0,1,0,7,2
GCKDGN101A4WM3_Ppor,5,0,5,1,0,0,1,0,1,1
GCKDGN101A4XN7_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A4XPZ_Ppor,0,0,4,3,0,0,0,0,0,0
GCKDGN101A4XXK_Ppor,31,0,0,1,0,0,0,0,2,0
GCKDGN101A4XYM_Ppor,0,0,0,0,0,0,0,0,3,1
GCKDGN101A4YYR_Ppor,0,0,0,0,0,0,0,0,0,2
GCKDGN101A4ZEK_Ppor,0,0,0,0,0,0,0,1,3,2
GCKDGN101A51N3_Ppor,0,0,0,1,0,0,0,1,0,3
GCKDGN101A5213_Ppor,0,0,8,1,0,0,0,3,3,0
GCKDGN101A527Z_Ppor,0,0,1,0,0,0,0,1,1,0
GCKDGN101A52QR_Ppor,0,0,14,3,1,0,0,2,4,0
GCKDGN101A52V3_Ppor,0,0,6,1,0,0,1,3,9,4
GCKDGN101A53V7_Ppor,0,0,19,3,1,0,0,4,16,1
GCKDGN101A53WE_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A53ZU_Ppor,0,0,1,0,0,0,0,0,0,0
GCKDGN101A54LW_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A54RM_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A54XY_Ppor,0,0,4,1,0,0,0,2,2,2
GCKDGN101A56R5_Ppor,61,0,1,1,0,0,0,2,0,2
