"gene","R_033_C_Pp_yr2","R_036_C_Pp_yr2","R_045_C_Pp_yr2","R_048_C_Pp_yr2","R_049_La_Pp_yr2","R_052_La_Pp_yr2","R_054_C_Pp_yr2","R_057_C_Pp_yr2","R_058_La_Pp_yr2"
"GCKDGN101APADN_Ppor",0,0,0.372348387104221,4.50539321373675,4.10118285583252,0,5.32162997583407,2.25146125247626,6.98630957797032
"GCKDGN101APWF6_Ppor",23.6291009455422,0,1.48939354841688,0.750898868956125,2.05059142791626,0,1.77387665861136,0.321637321782323,0
"GCKDGN101AQ7VX_Ppor",18.6016326592566,0,0.372348387104221,1.50179773791225,0,0,0,0.321637321782323,1.74657739449258
"GCKDGN101AQEBG_Ppor",19.1043794878852,0,5.2128774194591,6.75808982060512,6.15177428374878,0,3.54775331722272,3.21637321782323,3.49315478898516
"GCKDGN101AQLJF_Ppor",5.53021511491413,0,7.0746193549802,6.75808982060512,0,3.18001307759137,0,2.89473589604091,0
"GCKDGN101AQZR8_Ppor",4.02197462902846,2.57092152429382,3.35113548393799,1.50179773791225,2.05059142791626,3.18001307759137,4.4346916465284,4.82455982673485,0.873288697246289
"GCKDGN101AR0F9_Ppor",37.2032653185132,0,0.372348387104221,0.750898868956125,2.05059142791626,0,0.886938329305679,1.28654928712929,0
"GCKDGN101AR3EQ_Ppor",0,0,1.86174193552111,2.25269660686837,8.20236571166504,15.9000653879568,0.886938329305679,4.1812851831702,7.85959827521661
"GCKDGN101ARC0P_Ppor",8.54669608668547,0,1.48939354841688,3.75449434478062,4.10118285583252,12.7200523103655,0.886938329305679,3.53801053960556,3.49315478898516
"GCKDGN101ASIG8_Ppor",0,23.1382937186444,1.86174193552111,3.75449434478062,0,0,7.09550663444543,0.96491196534697,0.873288697246289
"GCKDGN101ASLBI_Ppor",0,0,2.60643870972955,1.50179773791225,2.05059142791626,0,2.66081498791704,3.21637321782323,6.11302088072403
"GCKDGN101ASTYA_Ppor",1.50824048588567,0,1.86174193552111,9.0107864274735,0,3.18001307759137,9.75632162236247,4.1812851831702,3.49315478898516
"GCKDGN101ASZ8Z_Ppor",29.1593160604563,0,2.97878709683377,1.50179773791225,4.10118285583252,0,0,3.85964786138788,4.36644348623145
"GCKDGN101AT3AD_Ppor",22.1208604596565,0,23.4579483875659,26.2814604134644,36.9106457024927,12.7200523103655,23.0603965619477,42.1344891534844,32.3116817981127
"GCKDGN101ATGAB_Ppor",0,2.57092152429382,8.56401290339709,21.0251683307715,12.3035485674976,9.54003923277411,18.6257049154193,14.4736794802046,13.0993304586943
"GCKDGN101ATL7I_Ppor",9.55218974394259,0,6.32992258077176,1.50179773791225,0,0,1.77387665861136,1.28654928712929,2.61986609173887
"GCKDGN101ATQYC_Ppor",0,0,4.09583225814643,5.25629208269287,0,0,0.886938329305679,3.85964786138788,3.49315478898516
"GCKDGN101ATV5Z_Ppor",0,28.280136767232,3.35113548393799,6.007190951649,6.15177428374878,6.36002615518274,8.86938329305679,6.43274643564647,3.49315478898516
"GCKDGN101AUBAL_Ppor",0,0,5.2128774194591,0.750898868956125,4.10118285583252,0,0.886938329305679,4.50292250495253,0.873288697246289
"GCKDGN101AV2BS_Ppor",0,0,2.23409032262533,3.75449434478062,0,9.54003923277411,4.4346916465284,3.85964786138788,3.49315478898516
"GCKDGN101AV6V2_Ppor",6.53570877217125,0,2.23409032262533,6.007190951649,4.10118285583252,0,0,6.75438375742879,5.23973218347774
"GCKDGN101AVHSH_Ppor",1.50824048588567,0,13.7768903228562,20.2742694618154,36.9106457024927,25.440104620731,17.7387665861136,23.1578871683273,25.3253722201424
"GCKDGN101AVLKI_Ppor",0,0,1.86174193552111,3.0035954758245,4.10118285583252,6.36002615518274,2.66081498791704,3.85964786138788,1.74657739449258
