"gene","R_033_C_Pp_yr2","R_036_C_Pp_yr2","R_045_C_Pp_yr2","R_048_C_Pp_yr2","R_049_La_Pp_yr2","R_051_C_Pp_yr2","R_052_La_Pp_yr2"
"isogroup113145_Sym",15.1491686572401,0,6.15859048426123,0.831176499394562,0,1.51284862680585,2.07672759373181
"isogroup113222_Sym",5.16995438302638,4.98392642323679,0.769823810532653,3.32470599757825,7.59551192974799,13.6156376412527,11.4220017655249
"isogroup113246_Sym",6.97342684222163,0,0,2.49352949818369,1.5191023859496,4.53854588041756,3.11509139059771
"isogroup113253_Sym",2.64509294015303,0,5.38876667372857,0,3.0382047718992,0,0
"isogroup113303_Sym",5.65088037214511,4.98392642323679,0,0,1.5191023859496,1.51284862680585,0
"isogroup113368_Sym",3.48671342111081,0,0,0.831176499394562,0,1.51284862680585,0
"isogroup113378_Sym",1.4427779673562,0,5.38876667372857,0.831176499394562,9.11461431569758,16.6413348948644,8.30691037492722
"isogroup113389_Sym",5.53064887486543,0,0,0,3.0382047718992,1.51284862680585,2.07672759373181
"isogroup113416_Sym",5.53064887486543,0,0,0.831176499394562,1.5191023859496,0,5.19181898432951
"isogroup113428_Sym",4.56879689662796,0,6.15859048426123,1.66235299878912,1.5191023859496,0,2.07672759373181
"isogroup113429_Sym",4.80925989118733,0,13.0870047790551,4.15588249697281,6.07640954379839,0,13.4987293592567
"isogroup113492_Sym",4.44856539934828,0,3.84911905266327,5.81823549576193,4.55730715784879,9.07709176083511,2.07672759373181
"isogroup113493_Sym",0.7213889836781,0,5.38876667372857,4.98705899636737,4.55730715784879,12.1027890144468,14.5370931561226
"isogroup113496_Sym",13.7063906898839,0,3.07929524213061,16.6235299878912,4.55730715784879,12.1027890144468,8.30691037492722
"isogroup113497_Sym",0,0,7.69823810532653,10.8052944921293,9.11461431569758,18.1541835216702,4.15345518746361
"isogroup113500_Sym",4.92949138846701,0,6.15859048426123,3.32470599757825,4.55730715784879,4.53854588041756,3.11509139059771
"isogroup113503_Sym",3.72717641567018,109.646381311209,6.92841429479388,11.6364709915239,16.7101262454456,4.53854588041756,13.4987293592567
