GeneName,R_033_C_Pp_yr2,R_036_C_Pp_yr2,R_045_C_Pp_yr2,R_048_C_Pp_yr2,R_049_La_Pp_yr2,R_051_C_Pp_yr2,R_052_La_Pp_yr2,R_054_C_Pp_yr2,R_057_C_Pp_yr2,R_058_La_Pp_yr2
isogroup102801_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102802_Sym,0,0,0,0,1,0,3,0,0,0
isogroup102811_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102813_Sym,2,0,1,19,2,13,4,0,0,0
isogroup102814_Sym,0,0,0,0,0,0,0,1,0,0
isogroup102815_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102819_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102837_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102846_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102852_Sym,0,0,0,0,0,1,0,0,0,0
isogroup102858_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102859_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102873_Sym,0,0,0,2,1,0,0,0,0,0
isogroup102875_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102879_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102882_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102889_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102890_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102900_Sym,0,1,0,0,0,0,0,0,0,0
isogroup102923_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102942_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102947_Sym,0,0,0,0,0,0,0,0,1,0
isogroup102958_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102966_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102973_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102979_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102983_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102984_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102989_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102990_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103004_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103017_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103024_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103031_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103039_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103041_Sym,11,0,0,0,0,0,0,0,0,0
isogroup103043_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103046_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103051_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103052_Sym,0,0,0,1,0,0,0,0,0,0
isogroup103074_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103076_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103092_Sym,0,0,0,0,0,0,0,0,0,0
isogroup10309_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103100_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103106_Sym,0,0,0,0,0,0,0,0,0,0
isogroup10310_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103114_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103120_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103122_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103130_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103146_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103148_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103163_Sym,0,0,0,1,0,0,0,0,0,0
isogroup103166_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103170_Sym,0,0,0,0,0,0,0,1,0,0
isogroup103184_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103185_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103202_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103204_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103206_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103207_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103217_Sym,0,0,0,0,0,0,1,0,0,0
isogroup103221_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103227_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103236_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103240_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103244_Sym,0,0,0,0,1,0,0,0,0,0
isogroup103245_Sym,0,0,0,0,0,0,0,0,3,2
isogroup103251_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103253_Sym,0,0,0,0,1,0,0,0,0,3
isogroup103260_Sym,0,0,0,0,0,0,0,0,0,0
